gene	trancript
ENSG00000251931	ENST00000516122
ENSG00000207260	ENST00000384530
ENSG00000207185	ENST00000384456
ENSG00000201545	ENST00000364675
ENSG00000207172	ENST00000384443
ENSG00000206629	ENST00000383902
ENSG00000252735	ENST00000516926
ENSG00000252264	ENST00000516455
ENSG00000251972	ENST00000516163
ENSG00000283290	ENST00000636904
ENSG00000207321	ENST00000384591
ENSG00000199879	ENST00000363009
ENSG00000207122	ENST00000384394
ENSG00000206917	ENST00000384190
ENSG00000206722	ENST00000383995
ENSG00000272439	ENST00000607774
ENSG00000207194	ENST00000384465
ENSG00000202081	ENST00000365211
ENSG00000221216	ENST00000408289
ENSG00000199880	ENST00000363010
ENSG00000275405	ENST00000619109
ENSG00000207115	ENST00000384387
ENSG00000252622	ENST00000516813
ENSG00000264909	ENST00000583936
ENSG00000199709	ENST00000362839
ENSG00000212518	ENST00000391216
ENSG00000222960	ENST00000411028
ENSG00000222724	ENST00000410792
ENSG00000207071	ENST00000384343
ENSG00000276711	ENST00000621409
ENSG00000201070	ENST00000364200
ENSG00000199283	ENST00000362413
ENSG00000212370	ENST00000391068
ENSG00000201579	ENST00000364709
ENSG00000207428	ENST00000384697
ENSG00000273752	ENST00000615903
ENSG00000200455	ENST00000363585
ENSG00000238562	ENST00000459284
ENSG00000262579	ENST00000572460
ENSG00000207041	ENST00000384314
ENSG00000199469	ENST00000362599
ENSG00000200484	ENST00000363614
ENSG00000223284	ENST00000411352
ENSG00000200815	ENST00000363945
ENSG00000200062	ENST00000363192
ENSG00000251859	ENST00000516050
ENSG00000199792	ENST00000362922
ENSG00000201223	ENST00000364353
ENSG00000252426	ENST00000516617
ENSG00000252468	ENST00000516659
ENSG00000207513	ENST00000384782
ENSG00000207378	ENST00000384648
ENSG00000253005	ENST00000517196
ENSG00000261867	ENST00000575271
ENSG00000212520	ENST00000391218
ENSG00000207452	ENST00000384721
ENSG00000207042	ENST00000384315
ENSG00000206716	ENST00000383989
ENSG00000251980	ENST00000516171
ENSG00000207287	ENST00000384557
ENSG00000202339	ENST00000365469
ENSG00000201770	ENST00000364900
ENSG00000252988	ENST00000517179
ENSG00000212316	ENST00000391014
ENSG00000200799	ENST00000363929
ENSG00000222356	ENST00000410424
ENSG00000200942	ENST00000364072
ENSG00000200257	ENST00000363387
ENSG00000201288	ENST00000364418
ENSG00000207198	ENST00000384469
ENSG00000199824	ENST00000362954
ENSG00000275291	ENST00000618578
ENSG00000206906	ENST00000384179
ENSG00000252916	ENST00000517107
ENSG00000206788	ENST00000384061
ENSG00000252449	ENST00000516640
ENSG00000252383	ENST00000516574
ENSG00000277091	ENST00000410416
ENSG00000199814	ENST00000362944
ENSG00000201662	ENST00000364792
ENSG00000264025	ENST00000580354
ENSG00000212133	ENST00000390831
ENSG00000252097	ENST00000516288
ENSG00000252390	ENST00000516581
ENSG00000252132	ENST00000516323
ENSG00000207327	ENST00000384597
ENSG00000252073	ENST00000516264
ENSG00000221114	ENST00000408187
ENSG00000239105	ENST00000458743
ENSG00000206915	ENST00000384188
ENSG00000238386	ENST00000458875
ENSG00000238923	ENST00000458811
ENSG00000278331	ENST00000621869
ENSG00000252037	ENST00000516228
ENSG00000274210	ENST00000622285
ENSG00000252205	ENST00000516396
ENSG00000202000	ENST00000365130
ENSG00000201642	ENST00000364772
ENSG00000199295	ENST00000362425
ENSG00000238759	ENST00000459033
ENSG00000202184	ENST00000365314
ENSG00000252061	ENST00000516252
ENSG00000212450	ENST00000391148
ENSG00000252491	ENST00000516682
ENSG00000200997	ENST00000364127
ENSG00000212389	ENST00000391087
ENSG00000283300	ENST00000637157
ENSG00000206766	ENST00000384039
ENSG00000252766	ENST00000516957
ENSG00000252604	ENST00000516795
ENSG00000199700	ENST00000362830
ENSG00000222076	ENST00000410144
ENSG00000252626	ENST00000516817
ENSG00000202050	ENST00000365180
ENSG00000252332	ENST00000516523
ENSG00000239115	ENST00000459003
ENSG00000206835	ENST00000384108
ENSG00000212424	ENST00000391122
ENSG00000200670	ENST00000363800
ENSG00000207077	ENST00000384349
ENSG00000273516	ENST00000610293
ENSG00000238616	ENST00000459080
ENSG00000222810	ENST00000410878
ENSG00000200356	ENST00000363486
ENSG00000253739	ENST00000521915
ENSG00000212330	ENST00000391028
ENSG00000264960	ENST00000578508
ENSG00000212442	ENST00000391140
ENSG00000252303	ENST00000516494
