gene	trancript
ENSRNOG00000053524	ENSRNOT00000082553
ENSRNOG00000051788	ENSRNOT00000087195
ENSRNOG00000055026	ENSRNOT00000085820
ENSRNOG00000054668	ENSRNOT00000080891
ENSRNOG00000053514	ENSRNOT00000080580
ENSRNOG00000055607	ENSRNOT00000078606
ENSRNOG00000057491	ENSRNOT00000083708
ENSRNOG00000051946	ENSRNOT00000091018
ENSRNOG00000056927	ENSRNOT00000087880
ENSRNOG00000056611	ENSRNOT00000089028
ENSRNOG00000060631	ENSRNOT00000080432
ENSRNOG00000059718	ENSRNOT00000081322
ENSRNOG00000053488	ENSRNOT00000085587
ENSRNOG00000060871	ENSRNOT00000087024
ENSRNOG00000053308	ENSRNOT00000086904
ENSRNOG00000059727	ENSRNOT00000091266
ENSRNOG00000058435	ENSRNOT00000090016
ENSRNOG00000058149	ENSRNOT00000090194
ENSRNOG00000055928	ENSRNOT00000089918
ENSRNOG00000061880	ENSRNOT00000091955
ENSRNOG00000058257	ENSRNOT00000080282
ENSRNOG00000052655	ENSRNOT00000084876
ENSRNOG00000058875	ENSRNOT00000090435
ENSRNOG00000059528	ENSRNOT00000078613
ENSRNOG00000052135	ENSRNOT00000083862
ENSRNOG00000057771	ENSRNOT00000091718
ENSRNOG00000052605	ENSRNOT00000090986
ENSRNOG00000060535	ENSRNOT00000081582
ENSRNOG00000057414	ENSRNOT00000077279
ENSRNOG00000053322	ENSRNOT00000080718
ENSRNOG00000061274	ENSRNOT00000077104
ENSRNOG00000057971	ENSRNOT00000090229
ENSRNOG00000059595	ENSRNOT00000077354
ENSRNOG00000055090	ENSRNOT00000080855
ENSRNOG00000054072	ENSRNOT00000091463
ENSRNOG00000061066	ENSRNOT00000079835
ENSRNOG00000055800	ENSRNOT00000082608
ENSRNOG00000060774	ENSRNOT00000090511
ENSRNOG00000060811	ENSRNOT00000079752
ENSRNOG00000059436	ENSRNOT00000079765
ENSRNOG00000054184	ENSRNOT00000087899
ENSRNOG00000061252	ENSRNOT00000077753
ENSRNOG00000056650	ENSRNOT00000089395
ENSRNOG00000057546	ENSRNOT00000090386
ENSRNOG00000052749	ENSRNOT00000090106
ENSRNOG00000051459	ENSRNOT00000088833
ENSRNOG00000057457	ENSRNOT00000090196
ENSRNOG00000052684	ENSRNOT00000083906
ENSRNOG00000052511	ENSRNOT00000088328
ENSRNOG00000054187	ENSRNOT00000085036
ENSRNOG00000061001	ENSRNOT00000082243
ENSRNOG00000060252	ENSRNOT00000080116
ENSRNOG00000056334	ENSRNOT00000079064
ENSRNOG00000055048	ENSRNOT00000091582
ENSRNOG00000056205	ENSRNOT00000091173
ENSRNOG00000059607	ENSRNOT00000089596
ENSRNOG00000055244	ENSRNOT00000077247
ENSRNOG00000051557	ENSRNOT00000091947
ENSRNOG00000059118	ENSRNOT00000081256
ENSRNOG00000055352	ENSRNOT00000088058
ENSRNOG00000059821	ENSRNOT00000081575
ENSRNOG00000054832	ENSRNOT00000083927
ENSRNOG00000055057	ENSRNOT00000078399
ENSRNOG00000057885	ENSRNOT00000087387
ENSRNOG00000059537	ENSRNOT00000078018
ENSRNOG00000058532	ENSRNOT00000089267
ENSRNOG00000059498	ENSRNOT00000081068
ENSRNOG00000052234	ENSRNOT00000089510
ENSRNOG00000054431	ENSRNOT00000090058
ENSRNOG00000060548	ENSRNOT00000088450
ENSRNOG00000053758	ENSRNOT00000078165
ENSRNOG00000054135	ENSRNOT00000088547
ENSRNOG00000054769	ENSRNOT00000085664
ENSRNOG00000054180	ENSRNOT00000086023
ENSRNOG00000060702	ENSRNOT00000080765
ENSRNOG00000053730	ENSRNOT00000078447
ENSRNOG00000059332	ENSRNOT00000082558
ENSRNOG00000059200	ENSRNOT00000087013
ENSRNOG00000052139	ENSRNOT00000080561
ENSRNOG00000056856	ENSRNOT00000089295
ENSRNOG00000060570	ENSRNOT00000078638
ENSRNOG00000059998	ENSRNOT00000077330
ENSRNOG00000057248	ENSRNOT00000089528
ENSRNOG00000059816	ENSRNOT00000079991
ENSRNOG00000057636	ENSRNOT00000089047
ENSRNOG00000054821	ENSRNOT00000080913
ENSRNOG00000053216	ENSRNOT00000078803
ENSRNOG00000061599	ENSRNOT00000081769
ENSRNOG00000054402	ENSRNOT00000085484
ENSRNOG00000051577	ENSRNOT00000089012
ENSRNOG00000055501	ENSRNOT00000084539
ENSRNOG00000059999	ENSRNOT00000078954
ENSRNOG00000056682	ENSRNOT00000080329
ENSRNOG00000061709	ENSRNOT00000079003
ENSRNOG00000059174	ENSRNOT00000084125
ENSRNOG00000056661	ENSRNOT00000082206
ENSRNOG00000052479	ENSRNOT00000083986
ENSRNOG00000061470	ENSRNOT00000085919
ENSRNOG00000058350	ENSRNOT00000078141
ENSRNOG00000058013	ENSRNOT00000084483
ENSRNOG00000055748	ENSRNOT00000086759
ENSRNOG00000054987	ENSRNOT00000081863
ENSRNOG00000055207	ENSRNOT00000085379
ENSRNOG00000056506	ENSRNOT00000090136
