gene	trancript
ENSRNOG00000030644	ENSRNOT00000047550
ENSRNOG00000031033	ENSRNOT00000040993
ENSRNOG00000034234	ENSRNOT00000050156
ENSRNOG00000030371	ENSRNOT00000043693
ENSRNOG00000033299	ENSRNOT00000046201
ENSRNOG00000031979	ENSRNOT00000046108
ENSRNOG00000030700	ENSRNOT00000049683
ENSRNOG00000033615	ENSRNOT00000041241
ENSRNOG00000031053	ENSRNOT00000044582
ENSRNOG00000029707	ENSRNOT00000042928
ENSRNOG00000029971	ENSRNOT00000048767
ENSRNOG00000029042	ENSRNOT00000051268
ENSRNOG00000031766	ENSRNOT00000042098
ENSRNOG00000018762	ENSRNOT00000067916
ENSRNOG00000000415	ENSRNOT00000000471
ENSRNOG00000000415	ENSRNOT00000084420
ENSRNOG00000013102	ENSRNOT00000017829
ENSRNOG00000058883	ENSRNOT00000072054
ENSRNOG00000040242	ENSRNOT00000061930
ENSRNOG00000007027	ENSRNOT00000009763
ENSRNOG00000014268	ENSRNOT00000020339
ENSRNOG00000003508	ENSRNOT00000005273
ENSRNOG00000014185	ENSRNOT00000018987
ENSRNOG00000050854	ENSRNOT00000071707
ENSRNOG00000050854	ENSRNOT00000073435
ENSRNOG00000033391	ENSRNOT00000048033
ENSRNOG00000038902	ENSRNOT00000059467
ENSRNOG00000033540	ENSRNOT00000043686
ENSRNOG00000001452	ENSRNOT00000001973
ENSRNOG00000017462	ENSRNOT00000023584
ENSRNOG00000017462	ENSRNOT00000078650
ENSRNOG00000005491	ENSRNOT00000007309
ENSRNOG00000019804	ENSRNOT00000026875
ENSRNOG00000042286	ENSRNOT00000068623
ENSRNOG00000003073	ENSRNOT00000004104
ENSRNOG00000021693	ENSRNOT00000034448
ENSRNOG00000005151	ENSRNOT00000006953
ENSRNOG00000005151	ENSRNOT00000068030
ENSRNOG00000006703	ENSRNOT00000008743
ENSRNOG00000018567	ENSRNOT00000025294
ENSRNOG00000004356	ENSRNOT00000005768
ENSRNOG00000025619	ENSRNOT00000033977
ENSRNOG00000039601	ENSRNOT00000060703
ENSRNOG00000003633	ENSRNOT00000004880
ENSRNOG00000015444	ENSRNOT00000020699
ENSRNOG00000018767	ENSRNOT00000025550
ENSRNOG00000027506	ENSRNOT00000038938
ENSRNOG00000019575	ENSRNOT00000026526
ENSRNOG00000030830	ENSRNOT00000040170
ENSRNOG00000001959	ENSRNOT00000039876
ENSRNOG00000000954	ENSRNOT00000001261
ENSRNOG00000009450	ENSRNOT00000012644
ENSRNOG00000008345	ENSRNOT00000011287
