#https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53960
#GSM	anno
GSM1328501	SEQC_Brn_F_002_1
GSM1328502	SEQC_Brn_F_002_2
GSM1328503	SEQC_Brn_F_002_3
GSM1328504	SEQC_Brn_F_002_4
GSM1328505	SEQC_Brn_F_006_1
GSM1328506	SEQC_Brn_F_006_2
GSM1328507	SEQC_Brn_F_006_3
GSM1328508	SEQC_Brn_F_006_4
GSM1328509	SEQC_Brn_F_021_1
GSM1328510	SEQC_Brn_F_021_2
GSM1328511	SEQC_Brn_F_021_3
GSM1328512	SEQC_Brn_F_021_4
GSM1328513	SEQC_Brn_F_104_1
GSM1328514	SEQC_Brn_F_104_2
GSM1328515	SEQC_Brn_F_104_3
GSM1328516	SEQC_Brn_F_104_4
GSM1328517	SEQC_Brn_M_002_1
GSM1328518	SEQC_Brn_M_002_2
GSM1328519	SEQC_Brn_M_002_3
GSM1328520	SEQC_Brn_M_002_4
GSM1328521	SEQC_Brn_M_006_1
GSM1328522	SEQC_Brn_M_006_2
GSM1328523	SEQC_Brn_M_006_3
GSM1328524	SEQC_Brn_M_006_4
GSM1328525	SEQC_Brn_M_021_1
GSM1328526	SEQC_Brn_M_021_2
GSM1328527	SEQC_Brn_M_021_3
GSM1328528	SEQC_Brn_M_021_4
GSM1328529	SEQC_Brn_M_104_1
GSM1328530	SEQC_Brn_M_104_2
GSM1328531	SEQC_Brn_M_104_3
GSM1328532	SEQC_Brn_M_104_4
