#GSM	SRR
GSM1156877	SRR896743
GSM1156878	SRR896744
GSM1156879	SRR896745
GSM1156880	SRR896746
GSM1156881	SRR896747
GSM1156882	SRR896748
GSM1156883	SRR896749
GSM1156884	SRR896750
GSM1156885	SRR896751
GSM1156886	SRR896752
GSM1156887	SRR896753
GSM1156888	SRR896754
GSM1156889	SRR896755
GSM1156890	SRR896756
GSM1156891	SRR896757
GSM1156892	SRR896758
GSM1156893	SRR896759
GSM1156894	SRR896760
GSM1156895	SRR896761
GSM1156896	SRR896762
GSM1156897	SRR896763
GSM1156898	SRR896764
GSM1156899	SRR896765
GSM1156900	SRR896766
GSM1156901	SRR896767
GSM1156902	SRR896768
GSM1156903	SRR896769
GSM1156904	SRR896770
GSM1156905	SRR896771
GSM1156906	SRR896772
GSM1156907	SRR896773
GSM1156908	SRR896774
GSM1156909	SRR896775
GSM1156910	SRR896776
GSM1156911	SRR896777
GSM1156912	SRR896778
GSM1156913	SRR896779
GSM1156914	SRR896780
GSM1156915	SRR896781
GSM1156916	SRR896782
GSM1156917	SRR896783
GSM1156918	SRR896784
GSM1156919	SRR896785
GSM1156920	SRR896786
GSM1156921	SRR896787
GSM1156922	SRR896788
GSM1156923	SRR896789
GSM1156924	SRR896790
GSM1156925	SRR896791
GSM1156926	SRR896792
GSM1156927	SRR896793
GSM1156928	SRR896794
GSM1156929	SRR896795
GSM1156930	SRR896796
GSM1156931	SRR896797
GSM1156932	SRR896798
GSM1156933	SRR896799
GSM1156934	SRR896800
GSM1156935	SRR896801
GSM1156936	SRR896802
GSM1156937	SRR896803
GSM1156938	SRR896804
GSM1156939	SRR896805
GSM1156940	SRR896806
GSM1156941	SRR896807
GSM1156942	SRR896808
GSM1156943	SRR896809
GSM1156944	SRR896810
GSM1156945	SRR896811
GSM1156946	SRR896812
GSM1156947	SRR896813
GSM1156948	SRR896814
GSM1156949	SRR896815
GSM1156950	SRR896816
GSM1156951	SRR896817
GSM1156952	SRR896818
GSM1156953	SRR896819
GSM1156954	SRR896820
GSM1156955	SRR896821
GSM1156956	SRR896822
GSM1328501	SRR1169959
GSM1328501	SRR1169960
GSM1328502	SRR1169961
GSM1328502	SRR1169962
GSM1328503	SRR1169963
GSM1328503	SRR1169964
GSM1328504	SRR1169965
GSM1328504	SRR1169966
GSM1328505	SRR1169967
GSM1328505	SRR1169968
GSM1328506	SRR1169969
GSM1328506	SRR1169970
GSM1328507	SRR1169971
GSM1328507	SRR1169972
GSM1328508	SRR1169973
GSM1328508	SRR1169974
GSM1328509	SRR1169975
GSM1328509	SRR1169976
GSM1328510	SRR1169977
GSM1328510	SRR1169978
GSM1328511	SRR1169979
GSM1328511	SRR1169980
GSM1328512	SRR1169981
GSM1328512	SRR1169982
GSM1328513	SRR1169983
GSM1328513	SRR1169984
GSM1328513	SRR1169985
GSM1328514	SRR1169986
GSM1328514	SRR1169987
GSM1328515	SRR1169988
GSM1328515	SRR1169989
GSM1328516	SRR1169990
GSM1328516	SRR1169991
GSM1328517	SRR1169992
GSM1328517	SRR1169993
GSM1328518	SRR1169994
GSM1328518	SRR1169995
GSM1328518	SRR1169996
GSM1328519	SRR1169997
GSM1328519	SRR1169998
GSM1328520	SRR1169999
GSM1328520	SRR1170000
GSM1328521	SRR1170001
GSM1328521	SRR1170002
GSM1328522	SRR1170003
GSM1328522	SRR1170004
GSM1328523	SRR1170005
GSM1328523	SRR1170006
GSM1328524	SRR1170007
GSM1328524	SRR1170008
GSM1328525	SRR1170009
GSM1328525	SRR1170010
GSM1328526	SRR1170011
GSM1328526	SRR1170012
GSM1328527	SRR1170013
GSM1328527	SRR1170014
GSM1328528	SRR1170015
GSM1328528	SRR1170016
GSM1328529	SRR1170017
GSM1328529	SRR1170018
GSM1328530	SRR1170019
GSM1328530	SRR1170020
GSM1328531	SRR1170021
GSM1328531	SRR1170022
GSM1328532	SRR1170023
GSM1328532	SRR1170024
