gid	code
MSTRG.10023.4	LEPC
MSTRG.10023.5	LEPC
MSTRG.10024.1	LEPC
MSTRG.10076.1	LEPC
MSTRG.10087.1	LEPC
MSTRG.10215.1	LEPC
MSTRG.10232.1	LEPC
MSTRG.10234.1	LEPC
MSTRG.10243.1	LEPC
MSTRG.10243.2	LEPC
MSTRG.10243.3	LEPC
MSTRG.10289.1	LEPC
MSTRG.10295.1	LEPC
MSTRG.10349.1	LEPC
MSTRG.10350.1	LEPC
MSTRG.10350.2	LEPC
MSTRG.10394.1	LEPC
MSTRG.10397.1	LEPC
MSTRG.10397.2	LEPC
MSTRG.10397.3	LEPC
MSTRG.10397.4	LEPC
MSTRG.10397.5	LEPC
MSTRG.10397.6	LEPC
MSTRG.10413.1	LEPC
MSTRG.10413.2	LEPC
MSTRG.10429.1	LEPC
MSTRG.10435.2	LEPC
MSTRG.10441.1	LEPC
MSTRG.10442.1	LEPC
MSTRG.10450.1	LEPC
MSTRG.10451.1	LEPC
MSTRG.10454.2	LEPC
MSTRG.10454.3	LEPC
MSTRG.10454.4	LEPC
MSTRG.10454.6	LEPC
MSTRG.10454.7	LEPC
MSTRG.10460.1	LEPC
MSTRG.1047.1	LEPC
MSTRG.1047.2	LEPC
MSTRG.10482.1	LEPC
MSTRG.10486.1	LEPC
MSTRG.10486.2	LEPC
MSTRG.10486.3	LEPC
MSTRG.10486.4	LEPC
MSTRG.10487.1	LEPC
MSTRG.10492.1	LEPC
MSTRG.10496.1	LEPC
MSTRG.10499.5	LEPC
MSTRG.10519.2	LEPC
MSTRG.10520.1	LEPC
MSTRG.10521.1	LEPC
MSTRG.10538.1	LEPC
MSTRG.10588.1	LEPC
MSTRG.1061.1	LEPC
MSTRG.1063.1	LEPC
MSTRG.10638.1	LEPC
MSTRG.1065.1	LEPC
MSTRG.10651.1	LEPC
MSTRG.10659.1	LEPC
MSTRG.10659.2	LEPC
MSTRG.10659.3	LEPC
MSTRG.10659.4	LEPC
MSTRG.1066.1	LEPC
MSTRG.10660.1	LEPC
MSTRG.10670.1	LEPC
MSTRG.10678.1	LEPC
MSTRG.10688.1	LEPC
MSTRG.10702.1	LEPC
MSTRG.10708.2	LEPC
MSTRG.10721.1	LEPC
MSTRG.10729.10	LEPC
MSTRG.10729.3	LEPC
MSTRG.10729.4	LEPC
MSTRG.10729.6	LEPC
MSTRG.10729.7	LEPC
MSTRG.10729.8	LEPC
MSTRG.10730.1	LEPC
MSTRG.10731.1	LEPC
MSTRG.10731.10	LEPC
MSTRG.10731.11	LEPC
MSTRG.10731.12	LEPC
MSTRG.10731.2	LEPC
MSTRG.10731.3	LEPC
MSTRG.10731.4	LEPC
MSTRG.10731.5	LEPC
MSTRG.10731.6	LEPC
MSTRG.10731.7	LEPC
MSTRG.10731.8	LEPC
MSTRG.10731.9	LEPC
