Transcript_id	Index	Coding_score
MSTRG.52.1	coding	0.9958316726171023
MSTRG.52.3	coding	0.9932035645678718
MSTRG.52.2	coding	0.9141520533809273
MSTRG.52.4	coding	0.9427634552814232
MSTRG.52.5	coding	0.9151159694189539
MSTRG.52.6	coding	0.9433176784564375
MSTRG.52.7	coding	0.9425006328840314
MSTRG.52.8	coding	0.9965539111842652
MSTRG.52.9	coding	0.9815819926224155
MSTRG.52.10	coding	0.9810269099398059
MSTRG.52.11	coding	0.9019330331794769
MSTRG.52.12	coding	0.9844336314396192
MSTRG.52.13	coding	0.8367117603426535
MSTRG.52.15	noncoding	0.17548496160123947
MSTRG.52.14	coding	0.9326363949797651
MSTRG.52.17	coding	0.9174894451380421
MSTRG.52.16	coding	0.9637897146090572
MSTRG.52.18	coding	0.9115862002773848
MSTRG.52.19	coding	0.982099407732547
MSTRG.52.20	coding	0.8951634791490273
MSTRG.52.21	coding	0.7782494318534973
MSTRG.52.23	coding	0.8179980739893592
MSTRG.52.22	coding	0.9948733398124312
MSTRG.52.24	coding	0.963856590792188
MSTRG.52.25	coding	0.9518574744462565
MSTRG.53.1	coding	0.9998347931176603
MSTRG.54.1	noncoding	0.3386095350190571
MSTRG.55.1	coding	0.9598807828861011
MSTRG.56.1	noncoding	0.37828882591140967
MSTRG.56.2	noncoding	0.15362244291799185
MSTRG.52.26	coding	0.9517205387448098
MSTRG.52.28	coding	0.9494663484546184
MSTRG.52.27	coding	0.9523260982281391
MSTRG.52.29	coding	0.9301508621876442
MSTRG.52.31	noncoding	0.3795917415484263
MSTRG.52.30	coding	0.9389114708493865
MSTRG.52.32	coding	0.9948103622734046
MSTRG.52.33	coding	0.9363774900345762
MSTRG.57.1	noncoding	0.3846959199561109
MSTRG.57.2	noncoding	0.41196253278397726
MSTRG.57.3	coding	0.8857911700693858
MSTRG.58.1	coding	0.9335118054300383
MSTRG.58.3	coding	0.9461770336403525
MSTRG.58.2	coding	0.8551329264320419
MSTRG.58.4	coding	0.9285788602972809
MSTRG.58.5	coding	0.8574127580702957
MSTRG.59.1	noncoding	0.046236888826572266
MSTRG.60.1	noncoding	0.016583557203632016
MSTRG.61.1	noncoding	0.13197632699866718
MSTRG.62.1	noncoding	0.47908090116993457
MSTRG.63.1	coding	0.9999999207725682
MSTRG.62.2	noncoding	0.2384667198660244
MSTRG.64.1	noncoding	0.235954208475947
MSTRG.65.1	noncoding	0.4383482939613601
MSTRG.65.2	coding	0.6628821768632219
MSTRG.66.1	coding	0.9750045867621052
MSTRG.66.2	coding	0.9664133864542398
MSTRG.67.1	coding	0.9979262362150835
MSTRG.68.1	coding	0.9887552667142635
MSTRG.68.2	coding	0.99550475693536
MSTRG.69.1	coding	0.9968548045813755
MSTRG.70.2	coding	0.9997151074233631
MSTRG.70.1	coding	0.9997151069976787
MSTRG.70.3	coding	0.9997150373003783
MSTRG.70.4	coding	0.9997596855164025
MSTRG.70.5	coding	0.9911368664144083
MSTRG.70.6	coding	0.9885487913324535
MSTRG.70.7	noncoding	0.13157512398875204
MSTRG.5.1	coding	0.9967371181523962
MSTRG.5.2	coding	0.5417299366090482
MSTRG.5.3	coding	0.57279551936475
MSTRG.5.4	coding	0.585398655938384
MSTRG.5.5	coding	0.628783415123142
MSTRG.7.1	coding	0.910509341610306
MSTRG.7.2	coding	0.8649579222621425
MSTRG.7.3	coding	0.8447581194128747
MSTRG.7.4	coding	0.7875179432373663
MSTRG.7.5	coding	0.9393585893892878
MSTRG.7.6	coding	0.9282116142486463
MSTRG.4.1	coding	0.8883523127304904
MSTRG.4.2	coding	0.8711854441137152
MSTRG.6.1	coding	0.9975705183755166
MSTRG.6.2	coding	0.9986472636287501
MSTRG.6.3	coding	0.9980727914090672
MSTRG.6.5	coding	0.9983564955952866
MSTRG.6.4	coding	0.9981423155671124
MSTRG.6.6	coding	0.9986013347615508
MSTRG.6.7	coding	0.9970242819680527
MSTRG.3.1	coding	0.813681141292276
MSTRG.1.1	noncoding	0.03338573435746699
MSTRG.2.1	noncoding	0.00534863476593234
MSTRG.34.1	coding	0.670907724731724
MSTRG.34.2	noncoding	0.41854314664844783
MSTRG.34.3	coding	0.5228195839293103
MSTRG.35.1	noncoding	0.1626448612852269
MSTRG.35.2	noncoding	0.2669952069170034
MSTRG.35.3	noncoding	0.34510035946295853
MSTRG.35.4	noncoding	0.430281145969314
MSTRG.35.5	noncoding	0.09117767265590919
