gid	code
MSTRG.10001.1	LEPC
MSTRG.10002.4	LEPC
MSTRG.10002.5	LEPC
MSTRG.10016.1	LEPC
MSTRG.10018.1	LEPC
MSTRG.10019.4	LEPC
MSTRG.10019.5	LEPC
MSTRG.10023.1	LEPC
MSTRG.10024.1	LEPC
MSTRG.10061.1	LEPC
MSTRG.10077.1	LEPC
MSTRG.10088.1	LEPC
MSTRG.10089.1	LEPC
MSTRG.10091.1	LEPC
MSTRG.10136.13	LEPC
MSTRG.10140.1	LEPC
MSTRG.10142.1	LEPC
MSTRG.10159.1	LEPC
MSTRG.10229.1	LEPC
MSTRG.10237.1	LEPC
MSTRG.10238.1	LEPC
MSTRG.10239.1	LEPC
MSTRG.10240.1	LEPC
MSTRG.10305.1	LEPC
MSTRG.10373.1	LEPC
MSTRG.10395.1	LEPC
MSTRG.1045.3	LEPC
MSTRG.10450.2	LEPC
MSTRG.10452.1	LEPC
MSTRG.10508.1	LEPC
MSTRG.10542.1	LEPC
MSTRG.10551.5	LEPC
MSTRG.10556.1	LEPC
MSTRG.10566.1	LEPC
MSTRG.10570.1	LEPC
MSTRG.10570.2	LEPC
MSTRG.10571.1	LEPC
MSTRG.10572.1	LEPC
MSTRG.10632.1	LEPC
MSTRG.10632.2	LEPC
MSTRG.10637.1	LEPC
MSTRG.10637.2	LEPC
MSTRG.10638.1	LEPC
MSTRG.10640.1	LEPC
MSTRG.10640.2	LEPC
MSTRG.10640.3	LEPC
MSTRG.10640.4	LEPC
MSTRG.1065.2	LEPC
MSTRG.1066.2	LEPC
MSTRG.10692.1	LEPC
MSTRG.1072.1	LEPC
MSTRG.1072.2	LEPC
MSTRG.10734.1	LEPC
MSTRG.10766.1	LEPC
MSTRG.1078.2	LEPC
MSTRG.10787.2	LEPC
MSTRG.1079.1	LEPC
MSTRG.1082.1	LEPC
MSTRG.10823.1	LEPC
MSTRG.1085.1	LEPC
MSTRG.10850.1	LEPC
MSTRG.10853.6	LEPC
MSTRG.10854.1	LEPC
MSTRG.10855.1	LEPC
MSTRG.10856.1	LEPC
MSTRG.10856.2	LEPC
MSTRG.10857.1	LEPC
MSTRG.10857.2	LEPC
MSTRG.10857.3	LEPC
MSTRG.10857.4	LEPC
MSTRG.10858.1	LEPC
MSTRG.10858.2	LEPC
MSTRG.10858.3	LEPC
MSTRG.10859.1	LEPC
MSTRG.10859.2	LEPC
MSTRG.10860.1	LEPC
MSTRG.10860.2	LEPC
MSTRG.10860.3	LEPC
MSTRG.10861.1	LEPC
MSTRG.10861.2	LEPC
MSTRG.10861.3	LEPC
