gid	code
MSTRG.1.1	LFPC
MSTRG.10.1	LEFF
MSTRG.10.2	LEFF
MSTRG.10.3	LEFF
MSTRG.10.4	LEFF
MSTRG.100.1	LFPF
MSTRG.1000.1	LEFF
MSTRG.1000.2	LEFF
MSTRG.1000.3	LEFF
MSTRG.10000.1	LFFC
MSTRG.10001.1	LFPF
MSTRG.10002.1	LFPC
MSTRG.10003.1	LFPF
MSTRG.10004.1	LEFF
MSTRG.10005.1	LEPF
MSTRG.10005.2	LEFF
MSTRG.10005.3	LEPF
MSTRG.10006.1	LEPF
MSTRG.10007.1	LEPF
MSTRG.10007.2	LEPF
MSTRG.10008.1	LEFF
MSTRG.10009.1	LFPC
MSTRG.1001.1	LFFF
MSTRG.10010.1	LFPC
MSTRG.10011.1	LFPC
MSTRG.10012.1	LFPC
MSTRG.10013.1	LEFF
MSTRG.10013.2	LEFF
MSTRG.10014.1	LFPF
MSTRG.10015.1	LEPF
MSTRG.10016.1	FFPC
MSTRG.10017.1	LEPF
MSTRG.10017.2	LEPF
MSTRG.10017.3	LEPF
MSTRG.10018.1	LEPF
MSTRG.10018.10	LEPF
MSTRG.10018.11	LEFF
MSTRG.10018.12	LEFF
MSTRG.10018.2	LEFF
MSTRG.10018.3	LEPF
MSTRG.10018.4	LEPF
MSTRG.10018.5	LEPF
MSTRG.10018.6	LEPF
MSTRG.10018.7	LEPF
MSTRG.10018.8	LEPF
MSTRG.10018.9	LEPF
MSTRG.10019.1	LEFF
MSTRG.1002.1	LEPF
MSTRG.1002.2	LEPF
MSTRG.1002.3	LEPF
MSTRG.1002.4	LEPF
MSTRG.10020.1	LEPF
MSTRG.10020.2	LEPF
MSTRG.10020.3	LEPF
MSTRG.10020.4	LEPF
MSTRG.10020.5	LEPF
MSTRG.10021.1	LEPF
MSTRG.10021.2	LEPF
MSTRG.10021.3	LEPF
MSTRG.10021.4	LEPF
MSTRG.10021.5	LEPF
MSTRG.10021.6	LEPF
MSTRG.10021.7	LEPF
MSTRG.10021.8	LEPF
MSTRG.10021.9	LEPF
MSTRG.10022.1	LEPF
MSTRG.10022.2	LEPF
MSTRG.10022.3	LEPF
MSTRG.10022.4	LEPF
MSTRG.10022.5	LEPF
MSTRG.10022.6	LEPF
MSTRG.10023.1	LEPF
MSTRG.10023.2	LEPF
MSTRG.10023.3	LEPF
