gid	code
MSTRG.1.1	LFPC
MSTRG.10.1	LFPC
MSTRG.100.1	LFPC
MSTRG.1000.1	LFPF
MSTRG.10000.1	LEPF
MSTRG.10000.2	LEPF
MSTRG.10001.1	LEPF
MSTRG.10002.1	LEPF
MSTRG.10002.2	LEFF
MSTRG.10002.3	LEFC
MSTRG.10003.1	LEFF
MSTRG.10003.2	LEFF
MSTRG.10004.1	LEPF
MSTRG.10005.1	LFPC
MSTRG.10006.1	LFFC
MSTRG.10007.1	LFPF
MSTRG.10008.1	LEPF
MSTRG.10008.2	LEPF
MSTRG.10009.1	LEFF
MSTRG.1001.1	LEPF
MSTRG.10010.1	LEPF
MSTRG.10011.1	LEPF
MSTRG.10012.1	LEFF
MSTRG.10013.1	LEFF
MSTRG.10013.2	LEFF
MSTRG.10013.3	LEFF
MSTRG.10014.1	LEFF
MSTRG.10014.2	LEFF
MSTRG.10014.3	LEFF
MSTRG.10014.4	LEFF
MSTRG.10014.5	LEFF
MSTRG.10015.1	LFPC
MSTRG.10017.1	LEPF
MSTRG.10017.2	LEPF
MSTRG.10019.1	LEFC
MSTRG.10019.2	LEFC
MSTRG.10019.3	LEFC
MSTRG.10019.6	LEFC
MSTRG.1002.1	LEPF
MSTRG.1002.2	LEPF
MSTRG.10020.1	LFPC
MSTRG.10021.1	LEFC
MSTRG.10022.1	LFPC
MSTRG.10025.1	LFPC
MSTRG.10026.1	LFPC
MSTRG.10027.1	LFPC
MSTRG.10028.1	LFPC
MSTRG.10029.1	LFPC
MSTRG.1003.1	LFPC
MSTRG.10030.1	LFPC
MSTRG.10031.1	LFPC
MSTRG.10032.1	LFPC
MSTRG.10033.1	LFPC
MSTRG.10034.1	LFPC
MSTRG.10035.1	LFPC
MSTRG.10036.1	LFPC
MSTRG.10037.1	LFPC
MSTRG.10038.1	LFPC
MSTRG.10039.1	LFPC
MSTRG.1004.1	LEFF
MSTRG.1004.2	LEFF
MSTRG.1004.3	LEFF
MSTRG.10040.1	LFPC
MSTRG.10041.1	LFPC
MSTRG.10042.1	LFPC
MSTRG.10043.1	LFPC
MSTRG.10044.1	LFPC
MSTRG.10045.1	LFPC
MSTRG.10046.1	LFPC
MSTRG.10047.1	LFPC
MSTRG.10048.1	LFPC
MSTRG.10049.1	LFPC
MSTRG.1005.1	LFPC
MSTRG.10050.1	LFPC
MSTRG.10051.1	LFPC
