mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
MSTRG.1.1	280	144	0.5307	0.0450258991045	0.0456708715213496
MSTRG.2.1	276	27	0.748	-0.763145345406	0.00113061639538035
MSTRG.3.1	1355	363	1.1091	-0.144313666552	0.234560718993987
MSTRG.5.1	529	261	0.9551	-0.221831006538	0.0756599383332318
MSTRG.4.1	264	108	1.1091	-0.0983643275449	0.0568105809307193
MSTRG.6.1	1098	456	0.7776	-0.047505241547	0.326004699715298
MSTRG.7.1	2336	345	1.0035	0.0667938576763	0.338760482610256
MSTRG.8.1	625	78	1.1587	0.0395806430803	0.0848473600276712
MSTRG.9.1	293	144	0.6992	-0.5392596125	0.00596808293635521
MSTRG.10.1	608	99	0.7257	0.171470551241	0.0763977536524982
MSTRG.16.1	60337	486	0.5654	0.117422051998	0.165999181659738
MSTRG.16.2	29874	477	0.6858	-0.3563498499	0.0641309345369999
MSTRG.16.3	28836	477	0.6858	-0.3563498499	0.0656020070115929
MSTRG.16.4	28515	477	0.6858	-0.3563498499	0.0660632496963802
MSTRG.17.1	36145	339	0.7427	-0.193297590968	0.0451974952985253
MSTRG.17.2	36145	339	0.7427	-0.193297590968	0.0451974952985253
MSTRG.17.3	35842	339	0.7427	-0.193297590968	0.0455039946388161
MSTRG.18.1	45916	1572	0.9293	0.112771023206	0.999266806317298
MSTRG.18.2	23006	1572	0.9293	0.112771023206	0.999570582967688
MSTRG.13.1	42104	510	0.4725	-0.100730344676	0.111081794226332
MSTRG.11.1	16097	402	0.5584	-0.282711645224	0.0554232603583036
MSTRG.11.2	16038	402	0.5584	-0.282711645224	0.0554954720853856
MSTRG.12.1	32933	444	0.5811	-0.150115986786	0.0877289502213674
MSTRG.12.2	24580	444	0.5811	-0.150115986786	0.104656877985055
MSTRG.14.1	75486	1434	0.8456	0.096798971914	0.995080700873093
MSTRG.14.2	23930	1434	0.8456	0.096798971914	0.998520023956546
MSTRG.14.3	32477	312	0.7759	-0.450994317365	0.0154975495173847
MSTRG.19.1	95025	468	0.4243	-0.336030970528	0.00927627461134812
MSTRG.15.1	191812	852	0.5539	-0.610234124774	0.00642339206539715
MSTRG.53.1	172418	732	0.7415	-0.261632439212	0.0246014167931987
MSTRG.53.2	41080	681	1.0117	0.312445625374	0.86648393731853
MSTRG.53.3	5319	291	1.0715	0.174739176804	0.363453935034156
MSTRG.53.4	36003	681	1.0117	0.312445625374	0.879620823708808
MSTRG.53.5	6096	219	0.6163	-0.458522086911	0.0106258816504741
MSTRG.21.1	235	72	0.4092	-0.961267336115	0.000371247769788219
MSTRG.20.1	209	99	0.9484	0.0554208461051	0.0728769813418302
MSTRG.28.1	239	75	0.4897	0.053402902392	0.0271588889618155
MSTRG.25.1	544	135	0.735	0.0123738077875	0.053951005582938
MSTRG.29.1	202	99	1.1516	-0.0833865235846	0.0610672959885925
MSTRG.26.1	1461	174	0.5709	-0.120892602989	0.030642373199814
MSTRG.22.1	1787	330	0.7792	-0.365274236394	0.0498361728142402
MSTRG.24.1	4479	264	0.853	-0.181272556923	0.0692976856207078
MSTRG.23.1	606	60	0.4098	-0.367151256106	0.00382117569931963
MSTRG.27.1	256	66	0.9293	-0.240311061611	0.0175124749287541
MSTRG.30.1	2885	321	0.735	-0.151482926683	0.0956425293526814
MSTRG.31.1	643	183	0.7	-0.18719943406	0.0322581369636749
MSTRG.34.1	234	93	1.112	-0.366745964589	0.0178283490113336
MSTRG.32.1	361	87	0.8949	-0.144055305056	0.0279628617770329
MSTRG.33.1	752	156	0.7794	0.0950119631786	0.0913637647420162
MSTRG.35.1	464	96	0.7795	-0.287316252731	0.0135688964354068
MSTRG.36.1	634	84	0.4593	-0.123327758643	0.0133618546428501
MSTRG.37.1	16933	405	0.6549	-0.0529458071251	0.152547684947857
MSTRG.38.1	5492	309	0.8026	-0.0264966101246	0.147117634678328
MSTRG.39.1	597	108	0.7568	-0.298859344674	0.0134898659655248
MSTRG.40.1	240	57	1.1456	-0.282467414623	0.0205960745787865
MSTRG.41.1	897	171	0.4561	-0.281352141832	0.0129674725354466
MSTRG.45.1	1276	255	0.646	-0.0963043984641	0.0675334990821643
MSTRG.42.1	537	96	0.8473	-0.525486761805	0.00584857509030866
MSTRG.43.1	1061	159	0.8045	-0.339500052044	0.017766858356235
MSTRG.50.1	5337	369	0.6251	-0.131568356173	0.111008857447063
MSTRG.44.1	1771	180	0.6767	-0.403966819037	0.0123852458969886
MSTRG.46.1	3000	204	0.7171	-0.275161226137	0.0257670495794603
MSTRG.47.1	338	81	0.6085	-0.323845560372	0.00769867044625525
MSTRG.48.1	218	30	0.8299	-0.590431152966	0.00272542677996768
MSTRG.49.1	466	393	0.5915	-0.371877640075	0.0552803994362768
